product_name	chunks	result
A Better Blue Briston Jeans	a better blue briston,jeans	♪更好的蓝色布里斯顿♪ 牛仔裤
A Better Blue Denim Jacket	a better blue denim jacket	♪A更好的蓝色牛仔夹克♪
A Better Blue Fayna Jeans	a better blue fayna jeans	♪A更好的蓝色Fayna牛仔裤♪
A Better Blue Flared-X Jeans	a better blue flared,-x jeans	a better blue flared x jeans
A Better Blue Pearl Denim Jacket	a better blue pearl,denim jacket	♪A更好的蓝色珍珠♪ denim jacket
A Better Blue Pearl Jeans	a better blue pearl jeans	♪A更好的蓝色珍珠牛仔裤♪
A Better Blue Pedal Pusher Jeans	a better blue pedal pusher jeans	♪A更好的蓝色踏板推进式牛仔裤♪
A Better Blue X-Lent Jeans	a better blue x-,lent jeans	a better blue x lent jeans
A Better Blue X-Pose Jeans	a better blue x-pose jeans	a better blue xpose jeans
A Better Blue chemise à manches longues Mira	a better blue chemise,à manches longues,mira	♪A更好的蓝色衬衫♪ 长袖 米拉
Ackley Ls Gd	ackley,ls,gd	艾克利。 LS GD
Afador Racking	afador racking	休斯顿运动衫
Alexa tactile doublure soie	alexa tactile,doublure soie	钉死了席琳，笨重，聪明的牛 真丝衬里
Alexis en peau lainée	alexis,en peau,lainée	亚历克西斯 皮肤的 毛织品
Aliette tactile doublure lapin	aliette tactile doublure,lapin	触觉衬里 钳子
Alina Bootie	alina,bootie	艾丽娜 宝贝儿。
Alina Slingback	alina,slingback	艾丽娜 slingback
Alix doublure en soie	alix doublure en soie	Alix真丝衬里
Alliance la 1g or jaune 750 lisse poli	alliance,la 1g or jaune,750 lisse poli	alliance la g or jaune  lisse poli 1g 750
Alliance émail noir	alliance,émail noir	alliance 黑釉
Alliance émail rose	alliance,émail rose	alliance 粉红色珐琅
Alliance émail rouge	alliance émail rouge	女式衬衫玛丽亚
Amor Platform Sandal	amor,platform sandal	amor 凉鞋平台
Andrew goat doublure en alpaga	andrew goat doublure en alpaga	安德鲁山羊羊驼内衬
Andrew tactile doublure en lapin	andrew tactile,doublure en lapin	双面覆盖 带闭包
Anorak Camo ptch her	anorak camo ptch,her	背心迷彩服 她
Anorak à capuche	anorak à capuche	风帽，带帽风帽风衣
Arielle tactile doublure soie	arielle tactile doublure,soie	arielle tactile doublure 丝
Asymetric Flat	asymetric flat	不对称平面
Asymmetrical Cutout Shirt	asymmetrical cutout shirt	不对称剪裁衬衫
BE3129 lunettes de soleil	be3129 lunettes,de soleil	当眼镜 太阳的光芒 be3129
BE4290 Lunettes de Soleil	be4290 lunettes,de soleil	当眼镜 太阳的光芒 be4290
BE4291 Lunettes de Soleil	be4291,lunettes,de soleil	be 眼镜 太阳的光芒 be4291
BE4337 Lunettes de Soleil	be4337,lunettes,de soleil	be 眼镜 太阳的光芒 be4337
BE4343 lunettes de soleil	be4343 lunettes,de soleil	当眼镜 太阳的光芒 be4343
BE4345 lunettes de soleil	be4345 lunettes,de soleil	当眼镜 太阳的光芒 be4345
BE4346 lunettes de soleil	be4346 lunettes,de soleil	当眼镜 太阳的光芒 be4346
BE4348 lunettes de soleil	be4348 lunettes,de soleil	当眼镜 太阳的光芒 be4348
BE4349 lunettes de soleil	be4349 lunettes,de soleil	当眼镜 太阳的光芒 be4349
BE4350 lunettes de soleil	be4350 lunettes,de soleil	当眼镜 太阳的光芒 be4350
Baboushka	baboushka	巴布什卡
Badge porte-nom	badge porte-nom	badge portenom
Bague	bague	环
Bague - double soleil diamants	bague,- double soleil diamants	环  double soleil diamants
Bague - eclat diamants	bague,- eclat diamants	环  eclat diamants
Bague - maillon	bague,- maillon	环  maillon
Bague Adele n°1	bague adele n°1	bague adele n° 1
Bague Ajna Blue Sand Stone	bague,ajna blue sand stone	环 ♪阿贾纳蓝砂石♪
Bague Aldabra	bague,aldabra	环 阿尔达布拉
Bague Angelo	bague angelo	安吉洛戒指
Bague Antifer 	bague antifer	防铁环
Bague Antifer 2 rangs	bague antifer,2 rangs	防铁环  rangs 2
Bague Antifer Heart 	bague antifer,heart	防铁环 心
Bague Antique Chrysocolle	bague antique,chrysocolle	古环 chrysocolle
Bague Antique Mother of Pearl	bague antique,mother of pearl	古环 mother of pearl
Bague Antique Onyx	bague antique,onyx	古环 玛瑙
Bague Antique Rhodochrosite	bague antique,rhodochrosite	古环 菱锰矿
Bague Antique Turquoise	bague antique,turquoise	古环 绿松石
Bague Athenais	bague,athenais	环 雅典人
Bague Attache-moi	bague,attache-moi	环 attachemoi
Bague Aurora	bague aurora	极光环
Bague Avec Cristal	bague,avec cristal	环 带水晶的
Bague Baguette	bague,baguette	环 姜。
Bague Balance Era	bague,balance,era	环 天平 Ra
Bague Balance cross	bague,balance cross	环 平衡十字
Bague Balance note	bague,balance,note	环 天平 注意事项
Bague Balance note pavé	bague,balance note,pavé	环 余额票据 铺好的
Bague Berbere 2 rangs	bague,berbere,2 rangs	环 berbere  rangs 2
Bague Berbere Chromatic 2 rangs	bague,berbere,chromatic 2 rangs	环 berbere chromatic  rangs 2
Bague Binary chaîne	bague,binary chaîne	环 二进制串
Bague Blaue	bague blaue	蓝环
Bague Bliss	bague bliss	极乐之戒
Bague Blossom	bague blossom	Nahoon
Bague Bowie n°2	bague,bowie,n°,2	环 鲍伊。 不是的。  2
Bague Bowie n°3	bague,bowie,n°,3	环 鲍伊。 不是的。  3
Bague Cachemire Aigue-Marine et Diamants	bague cachemire,aigue-marine et diamants	克什米尔环 阿基玛琳和钻石
Bague Cachemire Tourmaline et tsavorites	bague cachemire,tourmaline,et tsavorites	克什米尔环 托玛琳 和萨沃尔人
Bague Cachemire rubis	bague cachemire,rubis	克什米尔环 rubis
Bague Cercle Petite Pampille	bague,cercle,petite pampille	环 圆 小葡萄柚
Bague Chivor Diamants	bague chivor,diamants	齐沃环 diamants
Bague Chivor Saphirs	bague chivor,saphirs	齐沃环 蓝宝石
Bague Coachella	bague,coachella	环 马球
Bague Coeur	bague,coeur	环 coeur
Bague Cuore	bague cuore	库尔环
Bague Cœur Entrelacé	bague cœur,entrelacé	心环 entrelacé
Bague Daisy	bague daisy	雏菊戒指
Bague Danaé 1 diamant	bague danaé 1 diamant	bague danaé  diamant 1
Bague Danger	bague danger	bague danger
Bague Danger signature	bague danger,signature	bague danger 签名
Bague Destinée	bague,destinée	环 宿命
Bague Dio(r)evolution	bague,dio(r)evolution	环 DIO(R)演化
Bague Double Knot en Laiton Doré et Rhodié	bague double,knot,en laiton doré et rhodié	双环 打结 黄金、黄铜和铑的混合物
Bague Dune	bague dune	bague dune
Bague Dune Petit Modèle	bague dune,petit modèle	bague dune petit modèle
Bague Elia	bague,elia	环 伊利亚。
Bague Elipse Pavée	bague elipse pavée	椭圆形铺装环
Bague Ellipse Onyx	bague,ellipse,onyx	环 椭圆 玛瑙
Bague Enamel bleu double anneau diamant	bague enamel,bleu double anneau diamant	搪瓷环 蓝色双环钻石
Bague Enamel bleu double anneau pavé diamant	bague enamel,bleu double anneau,pavé diamant	搪瓷环 TOP CANA 钻石路面
Bague Enamel bleu poire diamant	bague enamel,bleu poire,diamant	搪瓷环 bleu poire 钻石
Bague Enamel jaune poire diamant	bague enamel,jaune poire diamant	搪瓷环 黄梨钻
Bague Enamel rose 7 diamants	bague enamel,rose 7 diamants	搪瓷环 粉色钻石 7
Bague Esteban	bague esteban	埃斯特班环
Bague Etania	bague,etania	环 伊坦尼娅
Bague Eve	bague,eve	环 条纹状至颈部
Bague Ever Lapis	bague,ever lapis	环 ♪Ever Lapis♪
Bague Ever Malachite	bague,ever malachite	环 曾经的孔雀石
Bague Ever Pink	bague,ever pink	环 ever pink
Bague Ever Tiger Eye	bague,ever tiger eye	环 ♪Ever Tiger Eyes♪
Bague Eylin	bague eylin	Eylin环
Bague F Is Fendi	bague f,is fendi	环f is fendi
Bague FF	bague,ff	环 FF
Bague Falangina	bague falangina	轰炸机风挡
Bague Fallen Sky	bague,fallen sky	环 坠落的天空
Bague Fedina	bague,fedina	环 fedina
Bague Fendi	bague fendi	bague fendi
Bague Fendi First	bague fendi,first	bague fendi 第一
Bague Ff	bague,ff	环 FF
Bague Fibule 1 diamant	bague,fibule,1 diamant	环 纤细的  diamant 1
Bague Filles Antik	bague filles,antik	曼孟菲斯 穿上雷德利
Bague Fine Maillon Triomphe Laiton Doré	bague fine,maillon,triomphe,laiton,doré	bague fine 链接 凯旋 laiton doré
Bague Forever Fendi	bague forever fendi	♪永远芬迪戒指♪
Bague French Kiss	bague,french kiss	环 法式接吻
Bague Gaia	bague gaia	盖亚环
Bague Gaïa	bague gaïa	盖亚环
Bague Georgia	bague georgia	乔治亚环
Bague Heart	bague heart	心环
Bague Hurly Burly	bague,hurly,burly	环 太好了。 身材魁梧
Bague Hélianthus	bague,hélianthus	环 向日葵
Bague Imagine Poire diamant	bague,imagine poire,diamant	环 imagine poire 钻石
Bague Imagine ronde diamant	bague,imagine ronde diamant	环 imagine ronde diamant
Bague Imagine ronde emeraude	bague,imagine ronde emeraude	环 打开
Bague Indrani	bague indrani	因德拉尼环
Bague Initial	bague initial	bague initial
Bague Iyo	bague,iyo	环 哟哟！
Bague Jolly	bague jolly	bague jolly
Bague Kanda	bague kanda	bague kanda
Bague Katt	bague,katt	环 哈弗希尔
Bague LV Speedy Pearls	bague,lv speedy pearls	环 lv speedy pearls
Bague La Medusa Greca	bague,la medusa,greca	环 美杜莎 A/
Bague Lolita Pierre de Lune	bague lolita,pierre,de lune	洛丽塔环 彼得 de lune
Bague Lolita Rhodolite	bague lolita,rhodolite	洛丽塔环 红柱石
Bague Lolita Topaze	bague lolita,topaze	洛丽塔环 topaze
Bague Luna	bague luna	露娜环
Bague Ma Preference	bague,ma preference	环 我的最爱
Bague Ma Première	bague,ma première	环 我的第一次
Bague Mademoiselle	bague mademoiselle	铃声响了，小姐。
Bague Mahe	bague mahe	马和环
Bague Margherita	bague margherita	玛格丽塔环
Bague Massaï	bague massaï	马赛环
Bague Maxi Twin	bague maxi,twin	极大环 孪生
Bague Medusa Tribute	bague medusa,tribute	循环赠款 贡品
Bague Miki	bague miki	三木环
Bague Miki Noeud	bague miki,noeud	三木环 节点
Bague Mini Ever Onyx	bague mini,ever onyx	迷你环 #永远的玛瑙#
Bague Mini Ever Rhodocrosite	bague mini,ever rhodocrosite	迷你环 #曾经的罗多克#
Bague Mini Ever Turquoise	bague mini,ever turquoise	迷你环 紫色
Bague Mini Ever black Mother of Pearl	bague mini,ever black mother of pearl	迷你环 #永远的黑人珍珠之母#
Bague Mini Ever pink Mother of Pearl	bague mini,ever,pink mother of pearl	迷你环 永远不会 ♪粉色珍珠之母♪
Bague Mini My Way diamants & argent	bague mini,my way diamants & argent	迷你环 my way diamants & argent
Bague Mini My Way semi pavée & argent	bague mini,my way,semi,pavée & argent	迷你环 ♪My Way♪ 半 pavée & argent
Bague Mini Rockaway pyramide diamants & argent	bague mini,rockaway pyramide diamants & argent	迷你环 罗克威金字塔钻石和白银
Bague Mini Rockaway pyramide semi pavée & argent	bague mini,rockaway pyramide,semi pavée & argent	迷你环 卡莉亚毛衣 半铺地和银色
Bague Mother of Pearl	bague,mother of pearl	环 mother of pearl
Bague Multi Epis de Blé	bague multi,epis,de blé	多环 埃皮斯 一批小麦
Bague Multi Poires Diamants	bague multi,poires diamants	多环 梨子钻石
Bague My LV Affair	bague,my,lv,affair	环 我的 LV 案例
Bague My Way diamants & argent	bague,my way diamants,& argent	环 my way diamants 蜂鸟
Bague My Way semi pavée & argent	bague,my,way semi pavée & argent	环 我的 半铺装路和银色
Bague New York	bague,new york	环 纽约
Bague O'Lock	bague,o',lock	环 O 锁定
Bague One	bague,one	环 one
Bague Onyx	bague onyx	玛瑙环
Bague O’Lock	bague,o’lock	环 马球风格
Bague Pierrot	bague pierrot	皮埃罗环
Bague Poire Petite Pampille	bague poire,petite pampille	bague poire 小葡萄柚
Bague Principesca Baby	bague,principesca,baby	环 principesca 宝贝。
Bague Principesca Candy	bague,principesca,candy	环 principesca 糖果。
Bague Punk	bague,punk	环 比基尼长袜大麦
Bague Refined rebellion	bague,refined rebellion	环 *
Bague Ribbon	bague ribbon	带环
Bague Richelieu Capitale Personnalisée	bague richelieu,capitale personnalisée	黎塞留环 个性化资本
Bague Rockaway ouverte diamants & argent	bague rockaway,ouverte diamants,& argent	Rockaway环 露天钻石 蜂鸟
Bague Rockaway picots 1 rang diamants & argent	bague rockaway picots 1 rang diamants & argent	bague rockaway picots  rang diamants & argent 1
Bague Rockaway pyramide diamants & argent	bague rockaway pyramide diamants & argent	Rockaway戒指金字塔钻石和银
Bague Rosalba	bague,rosalba	环 罗萨尔巴
Bague Roudoudou	bague roudoudou	Ruddy环
Bague Round Trip	bague,round,trip	环 圆的 旅行
Bague Saturn	bague saturn	修剪过的瓦莱丽。
Bague Sculptural	bague sculptural	雕刻环
Bague Serti Inversé 	bague,serti inversé	环 serti inversé
Bague Serti Sur Vide	bague,serti sur vide	环 平面图
Bague Signature	bague,signature	环 签名
Bague Signet Celine Laiton Doré	bague,signet celine laiton,doré	环 露丝连衣裙 doré
Bague Single Diamond Star	bague,single diamond star	环 单颗钻石星
Bague Skull	bague skull	bague skull
Bague Small Framed Rhodochrosite	bague small framed,rhodochrosite	小框环圈 菱锰矿
Bague Souad	bague,souad	环 苏阿德
Bague Stairway 1 rang diamants & argent	bague stairway 1 rang diamants & argent	bague stairway  rang diamants & argent 1
Bague Stairway 3 rangs diamants & argent	bague stairway,3 rangs diamants & argent	bague stairway  rangs diamants & argent 3
Bague Stairway 5 rangs diamants & argent	bague stairway,5 rangs diamants & argent	bague stairway  rangs diamants & argent 5
Bague Stardust	bague stardust	星尘环
Bague Stardust rainbow	bague stardust,rainbow	星尘环 rainbow
Bague Tangerine	bague,tangerine	环 蜜橘
Bague Tao	bague tao	陶环
Bague The Medusa	bague,the medusa	环 the medusa
Bague The Symbol Unknown	bague,the symbol unknown	环 the symbol unknown
Bague Three Lovers	bague,three lovers	环 ♪Three情人♪
Bague Tia	bague,tia	环 tia
Bague Tresse	bague tresse	鱼骨
Bague Triomphe Celine baby laiton doré et plexiglas	bague,triomphe,celine baby laiton doré et plexiglas	环 凯旋 celine baby laiton doré et plexiglas
Bague Tryptich	bague,tryptich	环 胰酶
Bague Turtle	bague turtle	环龟
Bague V émail bleu 	bague,v émail bleu	环 v émail bleu
Bague V émail jaune fluo	bague,v,émail jaune,fluo	环 彭布里鞋类 黄色珐琅 fluo
Bague V émail rose fluo	bague,v émail rose,fluo	环 V粉瓷 fluo
Bague Valentina	bague valentina	瓦伦蒂娜戒指
Bague Varda n°1	bague,varda n°,1	环 varda n°  1
Bague Varda n°2	bague,varda n°,2	环 varda n°  2
Bague Varda n°3	bague,varda n°,3	环 varda n°  3
Bague XL Link	bague,xl link	环 Fendigraph Small
Bague XXO	bague xxo	环xxo
Bague Xo	bague,xo	环 XO
Bague Zeus double pavée 1 diamant	bague,zeus,double pavée 1 diamant	环 宙斯 双层鹅卵石钻石 1
Bague Zeus pavée 1 diamant Réservée	bague,zeus,pavée 1 diamant,réservée	环 宙斯 pavée  diamant réservée 1
Bague Zéus double 1 diamant	bague zéus double 1 diamant	bague zéus double  diamant 1
Bague black Mother of Pearl	bague,black mother of pearl	环 ♪黑珍珠之母♪
Bague chaine - croix	bague,chaine,- croix	环 链式  croix
Bague chaine - love diamant	bague,chaine,- love diamant	环 链式  love diamant
Bague chaine - mini baguette	bague,chaine,- mini baguette	环 链式  mini baguette
Bague chaine - mini cible	bague,chaine,- mini cible	环 链式  mini cible
Bague chaine - mini lune	bague,chaine,- mini lune	环 链式  mini lune
Bague chaine - mini poire	bague,chaine,- mini poire	环 链式  mini poire
Bague chaine - mini soleil	bague,chaine,- mini soleil	环 链式  mini soleil
Bague chaine - mini étoile	bague,chaine,- mini étoile	环 链式  mini étoile
Bague chaine - serpent diamant	bague,chaine,- serpent diamant	环 链式  serpent diamant
Bague chaîne émail blanc	bague,chaîne,émail blanc	环 链式 émail blanc
Bague chaîne émail bleu	bague,chaîne,émail bleu	环 链式 蓝色珐琅
Bague chaîne émail jaune	bague,chaîne,émail jaune	环 链式 黄色珐琅
Bague chaîne émail rouge	bague,chaîne,émail rouge	环 链式 红色珐琅
Bague de fiancailles - multi diamants	bague,de fiancailles,- multi diamants	环 de fiancailles  multi diamants
Bague de fiancailles - multi triangles	bague,de fiancailles,- multi triangles	环 de fiancailles  multi triangles
Bague de fiancailles - solitaire	bague,de fiancailles,- solitaire	环 de fiancailles  solitaire
Bague de fiancailles - toi et moi	bague,de fiancailles,- toi,et moi	环 de fiancailles  toi 还有我。
Bague dentelle or jaune et diamants	bague dentelle or jaune et diamants	蕾丝戒指黄金和钻石
Bague double Brahma	bague double,brahma	双环 梵天
Bague doubles anneaux	bague doubles,anneaux	双环 嗨
Bague en or et diamant Aphrodite	bague,en or,et diamant,aphrodite	环 棉花沟 和钻石 阿芙罗狄蒂
Bague en perle	bague,en perle	环 珠儿
Bague grand V	bague grand,v	bague grand 彭布里鞋类
Bague jonc la 3g argent 925 lisse poli	bague jonc,la 3g argent 925 lisse,poli	兰扎长裤 la g argent  lisse 打磨 3g 925
Bague jonc la 5g argent 925 lisse poli	bague jonc,la 5g argent 925 lisse,poli	兰扎长裤 la g argent  lisse 打磨 5g 925
Bague jonc la 9g argent 925 lisse poli	bague jonc,la 9g argent 925 lisse,poli	兰扎长裤 la g argent  lisse 打磨 9g 925
Bague multi baguette	bague,multi baguette	环 multi baguette
Bague multi soleil	bague,multi soleil	环 多个太阳
Bague octagonal shape corail rouge pavé diamant	bague octagonal,shape,corail rouge pavé diamant	八角环 形状 红珊瑚，铺就的钻石
Bague octagonal shape lapis pavé diamant	bague octagonal,shape,lapis pavé diamant	八角环 形状 钻石贴青金石
Bague octagonal shape malachite pavé diamant	bague octagonal,shape malachite,pavé diamant	八角环 孔雀石形 钻石路面
Bague octagonal shape nacre blanc pavé diamant	bague octagonal,shape,nacre,blanc pavé diamant	八角环 形状 传说 blanc pavé diamant
Bague octagonal shape opale pavé diamant	bague octagonal,shape opale,pavé diamant	八角环 shape opale 钻石路面
Bague perles precieuses	bague,perles precieuses	环 珍贵的珍珠
Bague petit Round Trip	bague,petit round trip	环 眼睛
Bague phalanges doubles anneaux	bague phalanges,doubles anneaux	指骨环 双环
Bague phalanges petit V	bague phalanges,petit v	指骨环 petit v
Bague phalanges simple soleil	bague phalanges,simple soleil	指骨环 舒适的羊绒
Bague pinky Rockaway 3 picots diamants & argent	bague pinky,rockaway 3 picots diamants & argent	精力充沛 Rockaway Picots钻石和银牌 3
Bague pinky Rockaway 5 picots diamants & argent	bague pinky,rockaway 5 picots diamants & argent	精力充沛 Rockaway Picots钻石和银牌 5
Bague ruban la 3g argent 925 lisse brossé	bague,ruban,la 3g argent,925 lisse brossé	环 丝带 苍白的连衣裙  lisse brossé 3g 925
Bague ruban la 7g argent 925 lisse brossé	bague,ruban,la 7g argent,925 lisse brossé	环 丝带 苍白的连衣裙  lisse brossé 7g 925
Bague ruban la 9g argent 925 lisse brossé	bague,ruban,la 9g argent,925 lisse brossé	环 丝带 苍白的连衣裙  lisse brossé 9g 925
Bague serpent émail bleu fluo	bague serpent,émail bleu fluo	蛇环 émail bleu fluo
Bague à chaîne Delizioso Pallini	bague,à chaîne,delizioso pallini	环 链式 德利齐奥索·帕里尼
Bague à chaîne carrée Delizioso	bague,à chaîne carrée,delizioso	环 乙烯基漆 delizioso
Bague à chaîne ovale Delizioso	bague,à chaîne ovale,delizioso	环 à chaîne ovale delizioso
Bague émail superposé bleu fluo	bague,émail superposé,bleu fluo	环 覆盖牙釉质 荧光蓝
Bague émail superposé jaune fluo	bague,émail,superposé jaune fluo	环 安提克 荧光黄叠加
Bagues Brahma (set de 3)	bagues,brahma (set,de 3,)	运动衫熊 brahma (set de  ) 3
Bagues FF	bagues,ff	运动衫熊 FF
